rounds,logical_gate_count,challenges,per_gate_dephasing,per_gate_depolarizing,ideal_visibility,ideal_reset_fidelity,ideal_predicate_fidelity,noisy_visibility,noisy_reset_fidelity,noisy_predicate_fidelity,seed
1,11,1,0.003,0.001,1.0,1.0,0.9999999999999998,0.9788734448517461,0.9935199627963988,0.9841550836388098,20260813
2,17,10,0.003,0.001,1.0,1.0,0.9999999999999998,0.9665334155460944,0.9900500901082214,0.974900061659571,20260813
3,23,000,0.003,0.001,1.0,1.0,0.9999999999999998,0.9542043574361846,0.9865930880369361,0.965653268077139,20260813
4,29,0101,0.003,0.001,1.0,1.0,0.9999999999999998,0.9410797912738937,0.9831498952149742,0.9558098434554206,20260813
6,41,000111,0.003,0.001,1.0,1.0,0.9999999999999998,0.9169111146467221,0.9763066655374147,0.9376833359850425,20260813
8,53,11100001,0.003,0.001,1.0,1.0,0.9999999999999998,0.8927781489231023,0.9695160495906547,0.9195836116923279,20260813
