environment_overlap,visibility,reset_fidelity,predicate_fidelity,environment_chi_bits_given_parity
0.0,0.0,1.0,0.24999999999999994,1.0
0.05,0.050000000000000044,1.0,0.2875,0.99819587904281
0.1,0.10000000000000002,1.0,0.32499999999999996,0.9927744539878081
0.15000000000000002,0.15000000000000005,1.0,0.3624999999999999,0.9837082626231857
0.2,0.20000000000000004,1.0,0.39999999999999986,0.9709505944546686
0.25,0.25000000000000006,1.0,0.43749999999999994,0.9544340029249647
0.30000000000000004,0.30000000000000004,1.0,0.4749999999999999,0.9340680553754908
0.35000000000000003,0.35000000000000014,1.0,0.5124999999999998,0.909736122531166
0.4,0.40000000000000013,1.0,0.5499999999999999,0.8812908992306925
0.45,0.4500000000000001,1.0,0.5874999999999999,0.848548178294615
0.5,0.5000000000000002,1.0,0.6249999999999999,0.8112781244591324
0.55,0.55,1.0,0.6624999999999999,0.7691928290130131
0.6000000000000001,0.6000000000000002,1.0,0.6999999999999998,0.7219280948873619
0.65,0.6500000000000001,1.0,0.7374999999999998,0.6690158350565577
0.7000000000000001,0.7000000000000002,1.0,0.7749999999999998,0.6098403047164
0.75,0.7500000000000003,1.0,0.8124999999999999,0.5435644431995961
0.8,0.8000000000000004,1.0,0.85,0.4689955935892808
0.8500000000000001,0.8500000000000002,1.0,0.8874999999999998,0.38431154412649693
0.9,0.9000000000000004,1.0,0.9249999999999998,0.2863969571159555
0.9500000000000001,0.9500000000000005,1.0,0.9624999999999999,0.16866093149666994
1.0,1.0,1.0,0.9999999999999998,0.0
