n_steps,audit_weight,streaming_classical_memory_bound,exposed_audit_probability,exposed_return_fidelity,optimal_local_strength,optimal_strategy,collective_classical_record_bound,coherent_memory_algebraic_score
16,0.53,0.735,0.5,1.0,0.0,no_record,0.8541892149684968,1.0
16,0.54,0.73,0.5,1.0,0.0,no_record,0.8546829570193639,1.0
16,0.55,0.725,0.5,1.0,0.0,no_record,0.8553167600887974,1.0
16,0.56,0.72,0.5,1.0,0.0,no_record,0.8560898762952971,1.0
16,0.5700000000000001,0.715,0.5,1.0,0.0,no_record,0.8570014005574769,1.0
16,0.58,0.71,0.5,1.0,0.0,no_record,0.8580502757993631,1.0
16,0.59,0.7050000000000001,0.5,1.0,0.0,no_record,0.8592352989337211,1.0
16,0.6,0.7,0.5,1.0,0.0,no_record,0.860555127546399,1.0
16,0.61,0.6950000000000001,0.5,1.0,0.0,no_record,0.8620082871979591,1.0
16,0.62,0.69,0.5,1.0,0.0,no_record,0.8635931792539568,1.0
16,0.63,0.685,0.5,1.0,0.0,no_record,0.8653080891521566,1.0
16,0.64,0.6799999999999999,0.5,1.0,0.0,no_record,0.8671511950137164,1.0
16,0.65,0.675,0.5,1.0,0.0,no_record,0.869120576505835,1.0
16,0.66,0.6699999999999999,0.5,1.0,0.0,no_record,0.8712142238654117,1.0
16,0.67,0.6700050360060265,0.9999999990958637,1.526245999302936e-05,0.999999999886983,equal_weak_measurement,0.8734300469967569,1.0
16,0.68,0.6800048833736063,0.9999999991746673,1.526229635144147e-05,0.9999999998968334,equal_weak_measurement,0.8757658845611187,1.0
16,0.6900000000000001,0.6900047307435572,0.9999999992477466,1.5262137457810502e-05,0.9999999999059683,equal_weak_measurement,0.8782195129815489,1.0
16,0.7000000000000001,0.7000045781157792,0.9999999993154951,1.5261983108452886e-05,0.9999999999144369,equal_weak_measurement,0.8807886552931954,1.0
16,0.71,0.7100044254901737,0.9999999993782698,1.5261833111171113e-05,0.9999999999222837,equal_weak_measurement,0.8834709897762802,1.0
16,0.72,0.7200042728666523,0.9999999994364064,1.526168728445573e-05,0.9999999999295508,equal_weak_measurement,0.8862641583165594,1.0
16,0.73,0.7300041202451288,0.9999999994902131,1.526154545675227e-05,0.9999999999362766,equal_weak_measurement,0.8891657744458009,1.0
